State,Institution,RegistrationLink
Alabama,Alabama Secretary of State,https://www.alabamavotes.gov/
Alaska,Alaska Division of Elections,https://www.elections.alaska.gov/
Arizona,Arizona Secretary of State,https://azsos.gov/elections/voting-election
Arkansas,Arkansas Secretary of State,https://www.sos.arkansas.gov/elections
California,California Secretary of State,https://www.sos.ca.gov/elections/
Colorado,Colorado Secretary of State,https://www.sos.state.co.us/pubs/elections/main.html
Connecticut,Connecticut Secretary of State,https://portal.ct.gov/SOTS/Election-Services/Voter-Information
Delaware,Delaware Department of Elections,https://elections.delaware.gov/
Florida,Florida Division of Elections,https://dos.myflorida.com/elections/
Georgia,Georgia Secretary of State,https://sos.ga.gov/index.php/elections
Hawaii,Hawaii Office of Elections,https://elections.hawaii.gov/
Idaho,Idaho Secretary of State,https://sos.idaho.gov/elections-division/
Illinois,Illinois State Board of Elections,https://www.elections.il.gov/
Indiana,Indiana Secretary of State,https://www.in.gov/sos/elections/
Iowa,Iowa Secretary of State,https://sos.iowa.gov/elections/
Kansas,Kansas Secretary of State,https://sos.ks.gov/elections/elections.html
Kentucky,Kentucky Secretary of State,https://elect.ky.gov/Pages/default.aspx
Louisiana,Louisiana Secretary of State,https://www.sos.la.gov/ElectionsAndVoting/Pages/default.aspx
Maine,Maine Bureau of Corporations, Elections, and Commissions,https://www.maine.gov/sos/cec/elec/
Maryland,Maryland State Board of Elections,https://elections.maryland.gov/
Massachusetts,Massachusetts Secretary of the Commonwealth,https://www.sec.state.ma.us/ele/eleidx.htm
Michigan,Michigan Secretary of State,https://www.michigan.gov/sos/0,4670,7-127-1633_8716---,00.html
Minnesota,Minnesota Secretary of State,https://www.sos.state.mn.us/elections-voting/
Mississippi,Mississippi Secretary of State,https://www.sos.ms.gov/elections-voting/
Missouri,Missouri Secretary of State,https://www.sos.mo.gov/elections
Montana,Montana Secretary of State,https://sosmt.gov/elections/
Nebraska,Nebraska Secretary of State,https://sos.nebraska.gov/elections
Nevada,Nevada Secretary of State,https://www.nvsos.gov/sos/elections
New Hampshire,New Hampshire Department of State,https://sos.nh.gov/elections/
New Jersey,New Jersey Division of Elections,https://www.state.nj.us/state/elections/
New Mexico,New Mexico Secretary of State,https://www.sos.state.nm.us/voting-and-elections/
New York,New York State Board of Elections,https://www.elections.ny.gov/
North Carolina,North Carolina State Board of Elections,https://www.ncsbe.gov/
North Dakota,North Dakota Secretary of State,https://vip.sos.nd.gov/portal/dmvregistrations
Ohio,Ohio Secretary of State,https://www.ohiosos.gov/elections/
Oklahoma,Oklahoma State Election Board,https://www.ok.gov/elections/
Oregon,Oregon Secretary of State,https://sos.oregon.gov/voting/Pages/default.aspx
Pennsylvania,Pennsylvania Department of State,https://www.votespa.com/
Rhode Island,Rhode Island Department of State,https://elections.ri.gov/
South Carolina,South Carolina State Election Commission,https://www.scvotes.gov/
South Dakota,South Dakota Secretary of State,https://sdsos.gov/elections-voting/
Tennessee,Tennessee Secretary of State,https://sos.tn.gov/elections
Texas,Texas Secretary of State,https://www.sos.texas.gov/elections/index.shtml
Utah,Utah Lieutenant Governor's Office,https://elections.utah.gov/
Vermont,Vermont Secretary of State,https://sos.vermont.gov/elections/
Virginia,Virginia Department of Elections,https://www.elections.virginia.gov/
Washington,Washington Secretary of State,https://www.sos.wa.gov/elections/
West Virginia,West Virginia Secretary of State,https://sos.wv.gov/elections/Pages/default.aspx
Wisconsin,Wisconsin Elections Commission,https://elections.wi.gov/
Wyoming,Wyoming Secretary of State,https://sos.wyo.gov/elections/
